region,month,units,unit_price
Northeast,2026-01,808,16.84
Northeast,2026-02,1101,23.42
Northeast,2026-03,941,22.60
Northeast,2026-04,960,24.30
Northeast,2026-05,847,23.25
Northeast,2026-06,996,16.35
Northeast,2026-07,925,21.91
Northeast,2026-08,1056,13.06
Northeast,2026-09,997,11.58
Northeast,2026-10,929,16.38
Northeast,2026-11,1030,14.86
Northeast,2026-12,1000,18.75
Southeast,2026-01,501,14.36
Southeast,2026-02,381,17.88
Southeast,2026-03,404,17.21
Southeast,2026-04,780,24.08
Southeast,2026-05,741,14.33
Southeast,2026-06,476,15.02
Southeast,2026-07,675,12.97
Southeast,2026-08,512,20.15
Southeast,2026-09,516,24.08
Southeast,2026-10,710,19.94
Southeast,2026-11,472,13.04
Southeast,2026-12,773,18.64
Midwest,2026-01,594,12.85
Midwest,2026-02,687,22.68
Midwest,2026-03,967,22.19
Midwest,2026-04,761,23.50
Midwest,2026-05,718,15.22
Midwest,2026-06,945,12.11
Midwest,2026-07,982,24.03
Midwest,2026-08,904,17.91
Midwest,2026-09,877,13.13
Midwest,2026-10,864,19.33
Midwest,2026-11,931,19.52
Midwest,2026-12,886,19.13
West,2026-01,854,12.55
West,2026-02,739,11.85
West,2026-03,894,19.78
West,2026-04,976,20.68
West,2026-05,1023,20.57
West,2026-06,1224,21.91
West,2026-07,743,11.74
West,2026-08,871,20.99
West,2026-09,1210,15.46
West,2026-10,1108,18.63
West,2026-11,1296,16.71
West,2026-12,1321,17.06
